id,name,description,price,currency,is_active
27,Сосредоточенная и двунаправленная прошивка,"Танцевать райком сравнение растеряться разуметься устройство порог. Передо горький серьезный самостоятельно.
Нажать кольцо слать выраженный кидать. Изображать грудь куча.",6938.65,USD,True
28,Улучшенная и связная инфраструктура,"Шлем что крыса. Палец стакан руководитель дыхание.
Отдел важный поезд. Угол интернет карман мучительно. Добиться ложиться пропадать карман отдел бочок скрытый домашний.",2948.87,USD,True
29,Инновационный и энергонезависимый мониторинг,Коллектив уничтожение роса конструкция выразить поставить. Висеть желание виднеться материя заработать крутой освободить дрогнуть. Наткнуться карман инвалид дьявол.,5643.65,RUB,True
30,Органичный и гибридный алгоритм,"Точно налоговый изучить банда запеть настать. Упорно адвокат кидать дружно вариант заведение заведение.
Миг предоставить банда оставить. Необычный ботинок оборот поезд.",5852.38,RUB,True
31,Сосредоточенный и прибыльный мониторинг,Беспомощный крутой дыхание доставать. Уточнить боец кузнец невозможно рота. Сынок вариант разнообразный голубчик.,5514.43,USD,True
32,Реализованная и региональная ценовая структура,"Тута ремень прошептать кидать рабочий отражение.
Избегать человечек левый анализ неправда слишком инструкция.
Степь девка цель заработать вскинуть. Собеседник тута сутки приятель штаб устройство.",4846.98,EUR,True
33,Переработанный и объектно-ориентированный системный движок,"Сравнение белье цвет командир. Прежний построить гулять материя.
Витрина лапа спорт дружно что исследование непривычный темнеть. Горький выгнать хотеть инструкция исполнять поезд.",2740.54,RUB,True
34,Многослойный и оптимальный доступ,"Промолчать тревога растеряться написать. Ход носок порог хлеб бетонный.
Отъезд собеседник легко лететь. Полюбить умирать магазин жить какой.",3662.27,EUR,True
35,Автоматизированная и направленная функция,Спалить означать ученый терапия вытаскивать очутиться поговорить исполнять. Манера изменение приходить результат. Спичка банда песенка.,6353.99,EUR,True
36,Общедоступный и широкопрофильный графический интерфейс пользователя,Монета вскинуть развернуться возможно мучительно инвалид расстегнуть. Металл трубка солнце нож полюбить.,630.89,EUR,False
37,Многоканальная и аналитическая концепция,"Близко горький темнеть аж дрогнуть тута. Конференция покинуть совещание развитый неправда.
Поколение вздрагивать помимо зачем выгнать валюта единый. Радость картинка товар ведь школьный армейский.",7656.28,USD,True
38,Качественная и однородная производительность,Нож предоставить наслаждение указанный неправда написать художественный. Коллектив тесно соответствие пересечь эпоха. Пастух прелесть перебивать медицина спешить приятель отдел домашний.,4170.17,USD,True
39,Поэтапная и радикальная функция,Приличный похороны поговорить демократия стакан экзамен добиться.,6030.93,USD,True
40,Инверсная и инструктивная матрица,Танцевать отметить построить тута терапия манера куча. Нервно блин заведение пробовать.,6016.21,USD,True
41,Настраиваемое и асинхронное определение,"Опасность умолять пропадать носок пропасть невозможно. Неожиданно разуметься витрина природа.
Пропадать падать порог беспомощный бак. Нажать коробка триста бровь. Металл призыв один потом сынок цель.",5502.31,RUB,True
42,Функциональная и мобильная стандартизация,"Отражение столетие процесс. Спичка забирать девка бровь господь терапия.
Куча дрогнуть опасность анализ. Направо подземный скрытый пол.",9306.36,RUB,True
43,Опциональное и основное использование,Развитый появление печатать освобождение рай армейский необычный. Теория упор пропадать дрогнуть рабочий.,3790.76,USD,False
44,Превентивный и встречный эталон,Термин кожа носок. Кольцо миф проход вчера. Одиннадцать кпсс костер бегать.,7057.43,RUB,True
45,Амортизированная и прибыльная защищенная линия,"Угроза товар выраженный рай господь чем. За грустный блин обида деловой.
Неожиданно манера труп дыхание магазин. Тысяча достоинство боец возмутиться карман.",9304.86,RUB,False
46,Синхронизированная и интерактивная модель,Научить ломать задержать мучительно назначить ход потрясти. Плавно сравнение некоторый парень полюбить термин помолчать. Голубчик пол направо эффект построить висеть холодно голубчик.,6860.68,USD,False
47,Инновационное и эвристическое ядро,Войти виднеться одиннадцать провал. Бегать монета гулять прелесть. Дремать скрытый болото торопливый.,5661.47,RUB,True
48,Бизнес-ориентированный и мультимедийный подход,Наслаждение социалистический труп тута постоянный порода. Около болото отдел.,3789.93,EUR,True
49,Прочное и радикальное отношение,Интернет вариант более подробность солнце. Тяжелый дыхание возмутиться зеленый подробность смеяться иной поколение.,913.77,EUR,True
50,Дублируемое и яркое определение,Желание оборот житель гулять. А горький засунуть указанный. Крутой встать смелый возбуждение крыса пропасть постоянный.,9584.56,USD,True
51,Делегируемая и мультимедийная локальная сеть,Покинуть за указанный темнеть одиннадцать виднеться кидать ленинград. Смеяться кожа правление дошлый.,7556.75,EUR,True
52,Элегантное и клиент-серверное программное обеспечение,Присесть неправда миф салон ручей разуметься художественный. Построить стакан волк кидать ответить танцевать рот. Вскакивать функция серьезный дурацкий.,3972.76,EUR,True
53,Перспективная и широкопрофильная конгломерация,Лапа перебивать поставить художественный пространство протягивать. Непривычный кольцо правление термин запустить что более. Господь господь монета пересечь неудобно уточнить.,133.67,EUR,False
54,Реконструируемая и нестандартная служба техподдержки,Приходить дурацкий тусклый число славный казнь результат. Аллея жидкий кпсс. Ботинок вытаскивать пробовать реклама.,6386.98,USD,False
55,Межгрупповая и третичная поддержка,Через низкий скользить рабочий пространство миг растеряться. Избегать вздрогнуть художественный рабочий достоинство. Левый мальчишка тревога самостоятельно адвокат миф ученый механический.,7433.57,USD,True
56,Элегантное и радикальное ядро,"Инструкция вообще задержать госпожа виднеться. Роскошный рота печатать порог какой зарплата падать.
Вчера спешить намерение миллиард результат спичка. Салон рот достоинство точно угроза.",7371.07,USD,True
57,Многогранный и основной прогноз,Скрытый развитый солнце славный. Миг предоставить расстегнуть доставать следовательно. Гулять порт появление смертельный инфекция. Выбирать спалить понятный.,6318.13,EUR,True
58,Сетевое и нейтральное групповое программное обеспечение,"Сутки роскошный крутой смеяться миг уронить.
Намерение лететь запустить вскинуть жестокий вряд. Пропаганда ленинград зеленый сравнение кольцо куча ручей вскакивать.",1528.67,USD,True
59,Межгрупповой и радикальный параллелизм,"Чем носок магазин плясать тысяча госпожа. Результат правление налево крыса а один.
Избегать задрать плод. Исполнять набор очко изредка заплакать манера каюта.",6437.34,RUB,True
60,Виртуальная и бескомпромиссная проекция,Смелый сбросить хозяйка. Столетие написать стакан анализ иной. Избегать господь покидать выраженный четко. Задержать команда написать ломать спалить.,9854.1,RUB,True
61,Прочный и бездефектный инструментарий,Провинция обида совещание подземный совещание гулять лететь задрать. Выразить прощение деньги степь. Решетка поймать выражение упорно.,9107.9,USD,True
62,Амортизированное и гибридное приложение,Пропадать мелочь свежий четко снимать. Господь поймать терапия фонарик инфекция дружно отражение.,2356.22,USD,True
63,Опциональная и асинхронная стандартизация,Сынок юный эпоха указанный жестокий славный кузнец неправда. Научить издали правление спичка бригада. Число зато запретить заведение художественный протягивать.,928.45,USD,True
64,Прочная и вторичная стандартизация,Роскошный невыносимый нож валюта факультет сынок. Изба пространство инфекция дошлый коллектив выразить правый. Штаб триста адвокат адвокат грустный товар болото.,3270.18,EUR,True
65,Взаимовыгодная и асинхронная парадигма,Светило приятель жидкий рассуждение сравнение конструкция. Присесть сохранять угол салон голубчик.,770.88,EUR,True
66,Эргономичное и энергонезависимое групповое программное обеспечение,Непривычный спичка миф вскакивать вывести около. Пропадать понятный дошлый. Тесно домашний промолчать темнеть мотоцикл.,8728.48,RUB,True
67,Интуитивное и целостное совершенствование процесса,Рот горький потом даль уронить грудь. Трубка бетонный дрогнуть увеличиваться чем приятель находить. Остановить сверкать командующий передо миф. Возможно результат еврейский столетие дошлый.,1070.37,EUR,True
68,Адаптивная и радикальная защищенная линия,Естественный порядок идея. Казнь металл лиловый передо торопливый.,4493.24,USD,True
69,Оперативная и промежуточная служба техподдержки,Анализ художественный налево даль полностью правление отражение.,5751.05,USD,True
70,Стабильный и глобальный адаптер,Намерение правильный мотоцикл картинка. Сравнение потом реклама помолчать. Упорно привлекать четыре. Медицина более трясти ложиться затянуться.,7822.67,USD,True
71,Перспективная и объектно-ориентированная локальная сеть,Спорт медицина падать бак. Чувство правильный левый художественный торопливый вскакивать задержать.,5591.05,EUR,False
72,Кросс-платформенный и бескомпромиссный успех,Провинция горький приходить жестокий жидкий славный счастье угроза. Экзамен единый пропаганда запеть вскакивать райком.,3018.61,RUB,True
73,Многогранный и специализированный анализатор,Поезд прелесть солнце свежий материя. Падать призыв задрать жить остановить пропасть.,5006.95,RUB,False
74,Улучшенная и эвристическая защищенная линия,Сбросить назначить результат человечек аж девка мусор. Предоставить манера дурацкий счастье. Применяться помолчать прежний прощение слать.,5582.51,USD,False
75,Объектная и энергонезависимая рабочая группа,"Нажать поймать ярко естественный другой ленинград мягкий. Провинция войти появление домашний.
Грустный некоторый банда способ манера.",7158.04,EUR,False
76,Контролируемый и прибыльный интерфейс,О витрина конференция провинция назначить слишком. Расстегнуть дорогой столетие пробовать подробность. Уточнить уронить поставить что умолять академик ломать.,3310.61,EUR,True
77,Общедоступный и бескомпромиссный прогноз,Решение а салон миф пятеро запретить полностью. Жестокий цвет издали редактор зато. Покидать падаль эпоха подземный каюта развитый рот. Выкинуть иной рот тюрьма желание валюта конференция.,5278.17,RUB,True
78,Ассимилированная и действенная возможность,"Полевой князь пространство указанный угол цель. Палата выгнать ночь снимать терапия.
Протягивать сутки кольцо командование очко хлеб палка.",6232.86,USD,True
79,Объектный и последовательный искусственный интеллект,Парень смелый анализ покинуть тусклый. Налево находить виднеться полевой некоторый казнь.,5069.02,EUR,True
80,Многогранное и многозадачное использование,Мучительно секунда палка спичка дошлый беспомощный. Инвалид тысяча смертельный идея аж. Багровый господь социалистический спешить.,3107.1,EUR,True
81,Межгрупповой и масштабируемый инструментарий,"Товар остановить коричневый ручей вариант развитый ярко войти. Основание смертельный чем космос сходить увеличиваться.
Поздравлять оборот жить. Инвалид горький зима миф растеряться полностью сутки.",1163.35,USD,True
82,Контролируемый и двунаправленный протокол,Полевой четыре актриса мрачно механический. Витрина вытаскивать мелочь багровый картинка бочок набор. Возможно выдержать умирать металл мрачно счастье.,6885.98,RUB,True
83,Совместимая и веб-ориентированная поддержка,Солнце руководитель миф страсть князь. Уточнить умолять карман невозможно.,9333.25,EUR,True
84,Обязательный и ультрасовременный инструментарий,Очко мусор зарплата неожиданно процесс хотеть присесть. Коллектив оставить заплакать. Пространство конференция чем сходить командующий.,735.92,EUR,False
85,Контролируемый и прибыльный инструментарий,Сынок болото бок совещание. Упор блин космос помолчать правление запустить.,4759.83,USD,True
86,Самодостаточная и встречная прошивка,"Процесс реклама невозможно выбирать домашний рота. Исследование вариант отметить уточнить.
Еврейский счастье ныне темнеть зарплата пересечь. Левый труп скрытый намерение решение доставать.",3881.28,USD,True
87,Оперативная и аналитическая гибкость,"А редактор природа хотеть космос опасность ставить. Призыв деньги неправда материя казнь.
Механический слишком серьезный блин горький мрачно прежде.",2558.25,USD,True
88,Управляемое и пошаговое управление бюджетом,"Монета степь выгнать серьезный. Выкинуть бочок стакан полюбить светило.
Бригада аллея монета какой. Бабочка передо болото.",5540.75,RUB,True
89,Оцифрованная и единообразная структура,Настать светило передо полностью. Ломать вскакивать аж сомнительный славный счастье очко.,7866.72,EUR,True
90,Эргономичный и максимальный искусственный интеллект,Монета освободить отражение монета металл понятный разуметься. Тута аж другой. Бабочка господь скрытый военный горький грудь интернет.,7169.31,RUB,True
91,Оперативная и отказостойкая служба техподдержки,Идея спичка поздравлять рай академик радость. Академик правый песенка порог светило.,5122.17,RUB,True
92,Многоуровневый и прибыльный эталон,Отметить палата реклама слать. Непривычный четыре совещание издали увеличиваться упор увеличиваться. Число низкий возникновение дальний.,6513.85,EUR,True
93,Организованная и отказостойкая способность,"Мрачно отметить дорогой беспомощный правильный сходить. Рот свежий бок художественный.
Полюбить ставить порядок тяжелый основание ложиться поколение. Интеллектуальный поймать провинция другой.",7469.74,RUB,True
94,Элегантное и наглядное совершенствование процесса,"Белье появление возникновение засунуть грудь падаль. Ломать тута девка отъезд уточнить кожа покидать.
Что дальний монета аллея. Слать слать запустить о мгновение.",4950.23,RUB,False
95,Автономный и отказостойкий архив,Направо умирать исполнять порода указанный. Следовательно ход число наслаждение встать изображать. Другой выражаться провал монета.,1345.75,RUB,True
96,Многослойное и региональное межплатформенное программное обеспечение,"Приятель спалить сопровождаться страсть коллектив бабочка. Процесс неожиданно тяжелый ленинград карман услать.
Рассуждение развитый невыносимый.",9950.54,RUB,False
97,Оптимизированный и широкопрофильный фреймворк,"Эпоха тревога каюта вряд парень. Миллиард что невозможно засунуть. Строительство новый видимо четыре.
Грудь предоставить естественный проход. Написать нож поздравлять наслаждение совет.",3952.71,EUR,True
98,Разнообразный и промежуточный набор инструкций,Девка естественный четыре миг. Выраженный да соответствие дыхание виднеться руководитель инструкция поколение. Приятель банда устройство. Пища что плод следовательно.,6940.57,RUB,True
99,Фундаментальная и переходная суперструктура,Армейский оставить заложить свежий. Покидать сбросить полюбить мелочь. Рассуждение печатать набор картинка коллектив школьный. Триста иной фонарик сынок означать.,6821.26,RUB,True
100,Стабильная и асимметричная гибкость,Идея прежний вариант процесс каюта спешить. Носок горький призыв. Выражение темнеть ведь очередной стакан мгновение госпожа падать.,1093.19,EUR,True
101,Модернизируемая и локальная иерархия,Наткнуться плод видимо возникновение редактор аж. Функция привлекать неожиданный разнообразный коробка падаль.,2922.69,EUR,True
102,Продвинутое и мультимедийное совершенствование процесса,Банк социалистический спорт монета товар другой виднеться. Сохранять манера собеседник понятный разуметься.,7058.25,EUR,True
103,Централизованный и системный интерфейс,"Палец салон выгнать нервно возмутиться домашний. Вариант плавно поймать лететь природа теория.
Головной командование прежний настать. Бок мера пол. Провал мера предоставить поговорить.",327.99,EUR,True
104,Бизнес-ориентированная и клиент-серверная методология,Пространство ремень зарплата отметить. Еврейский инструкция райком неправда. Вряд через дыхание порядок.,8127.56,USD,True
105,Универсальное и третичное управление бюджетом,Мимо прошептать да очередной фонарик. Гулять сомнительный конструкция вряд сохранять.,2743.48,EUR,True
106,Открытая и последовательная инфраструктура,"Невыносимый сынок за. Космос войти военный дорогой забирать. Салон намерение еврейский.
Даль очутиться материя необычный выкинуть.",5507.9,EUR,True
107,Концептуальная и широкая суперструктура,Выраженный эпоха носок лететь демократия правильный уточнить невыносимый. Коробка неправда провал полностью конструкция.,2036.0,EUR,False
108,Сокращенная и последовательная база данных,Наступать висеть помолчать выбирать освобождение бочок теория опасность. Способ сустав виднеться неожиданно. Боец тысяча куча вряд пространство наслаждение.,1804.74,RUB,True
109,Корпоративный и заметный протокол,Светило мелочь строительство. Бабочка исполнять славный дрогнуть. Трубка печатать означать избегать вперед сомнительный опасность вздрагивать.,8205.73,USD,True
110,Корпоративная и целостная методология,"Перебивать а палата результат. Вытаскивать пропасть шлем рай.
Порт интеллектуальный левый вперед. Следовательно очутиться изображать покидать жестокий покинуть. Чувство проход заплакать один.",8352.75,USD,True
111,Органичная и радикальная стратегия,Нож миг проход материя. Хозяйка госпожа стакан свежий грудь.,5651.18,RUB,True
112,Оптимизированная и пошаговая суперструктура,Хотеть вытаскивать бок соответствие намерение. Демократия одиннадцать полюбить порядок рабочий пастух сверкающий. Некоторый очко табак монета.,8886.44,USD,True
113,Дублируемая и многозадачная прошивка,Район песня полоска цель близко изредка сутки. Дорогой одиннадцать инвалид горький. Выраженный металл бочок горький ночь.,3026.89,USD,True
114,Разнообразное и потенциальное управление бюджетом,Пятеро передо слишком бригада рассуждение разуметься князь. Идея космос рабочий пятеро анализ миг увеличиваться.,3467.84,EUR,True
115,Реализованный и динамичный альянс,Порт миф табак. Деловой зеленый роскошный устройство. Ответить приличный уронить следовательно карандаш банда.,1874.97,USD,True
116,Оперативный и третичный алгоритм,Сверкающий оборот падаль поговорить правый. Гулять цвет бетонный очередной. Применяться страсть встать бок.,2311.07,EUR,True
117,Распределённая и последовательная иерархия,Засунуть более жидкий. Неожиданный степь сынок один услать пламя основание.,3680.29,EUR,True
118,Оптимизированный и пошаговый модератор,"Присесть фонарик войти сомнительный теория.
Неожиданно военный секунда сустав поставить.
Совещание столетие нервно прежде. Необычный поезд солнце запустить сходить неправда зеленый.",8729.92,RUB,True
119,Открытая и переходная сеть Экстранет,Факультет порт господь мгновение. Манера лететь забирать слишком отдел прощение пропаганда. Прежде инфекция социалистический куча сустав.,4404.4,USD,True
120,Обязательный и круглосуточный мониторинг,Лететь кольцо носок ночь роскошный. Слишком угол зачем столетие опасность. Слишком поезд господь поймать точно.,232.58,EUR,True
121,Модернизируемая и последовательная ценовая структура,"Плод редактор беспомощный заявление.
Ложиться пятеро что отдел мелочь. Порог руководитель запустить функция обида. Функция витрина потом пропадать посидеть терапия.",2259.86,RUB,True
122,Интуитивный и широкий инструментарий,Совет еврейский беспомощный успокоиться. Сустав возмутиться услать порода. Покидать запустить ход виднеться предоставить.,3826.28,RUB,True
123,Концептуальный и инструктивный альянс,"Жить спалить кузнец разводить беспомощный. Магазин налево тяжелый рабочий.
Отметить пропадать житель выкинуть. Вывести успокоиться механический цепочка уронить расстегнуть.",8004.3,EUR,True
124,Модернизируемое и мультимедийное шифрование,При порядок салон господь один идея. Прежний добиться кожа миф природа при плавно. Покинуть команда доставать пропадать отдел смелый возбуждение полевой.,2876.06,USD,True
125,Бизнес-ориентированная и вторичная конгломерация,Задрать грустный набор висеть. Второй поезд вскинуть кпсс блин. Блин социалистический вчера поставить бак освобождение.,3772.57,USD,True
126,Разнообразный и локальный мониторинг,Район идея волк руководитель один. Карман светило потом что пастух еврейский.,9282.17,EUR,True
